timestamp_us,pressure_pa,lat,lon,hae_alt_m,fix_type
790927806,100965.0,22.9100779,120.3120483,71.509,4.0
791349084,100979.86,22.9100952,120.3119714,67.395,4.0
791467907,100993.0,22.9100952,120.3119714,67.395,4.0
791899908,101026.0,22.9101123,120.3118903,65.614,4.0
792331906,101058.0,22.910127,120.3118129,64.753,4.0
792871911,101078.0,22.9101402,120.3117398,63.112,4.0
793519906,101089.0,22.9101525,120.3116686,60.876,4.0
793952199,101120.0,22.9101645,120.3115977,58.928,4.0
794492193,101145.0,22.9101749,120.311527,57.424,4.0
794924376,101155.0,22.9101836,120.3114583,56.399,4.0
795334826,101155.0,22.9101908,120.3113927,55.816,4.0
795896416,101176.0,22.9101944,120.3113306,55.638,4.0
796328611,101178.0,22.9101968,120.311273,55.72,4.0
796868595,101178.0,22.9101972,120.3112185,55.59,4.0
797516700,101164.0,22.9101951,120.3111652,55.219,4.0
797948694,101173.0,22.9101939,120.3111096,54.975,4.0
798488788,101150.0,22.9101948,120.3110525,54.692,4.0
798920910,101164.0,22.910196,120.3109932,54.496,4.0
799342278,101159.71,22.910198,120.3109316,54.2,4.0
799461067,101182.0,22.910198,120.3109316,54.2,4.0
799893039,101167.0,22.9102025,120.310869,53.795,4.0
800325093,101164.0,22.9102086,120.310805,53.545,4.0
800951521,101156.164,22.91021,120.3107372,53.569,4.0
801513211,101135.0,22.9102043,120.3106666,54.264,4.0
801945184,101110.0,22.9101873,120.3105966,55.645,4.0
802485072,101111.0,22.9101571,120.3105309,57.591,4.0
802917076,101095.0,22.9101168,120.3104717,59.769,4.0
803349087,101072.0,22.910067,120.3104196,61.62,4.0
803889091,101064.0,22.9100094,120.3103773,63.268,4.0
804321111,101045.0,22.9099473,120.3103443,64.916,4.0
804861011,101032.0,22.9098822,120.310319,66.361,4.0
805509077,101022.0,22.9098142,120.3103022,67.629,4.0
805941079,101005.0,22.9097441,120.3102973,68.7,4.0
806351557,100992.5,22.9096757,120.3103061,69.667,4.0
806481272,100993.0,22.9096757,120.3103061,69.667,4.0
806913222,100988.0,22.9096119,120.3103282,70.773,4.0
807345424,100975.0,22.9095543,120.3103606,71.888,4.0
807885390,100977.0,22.9095022,120.3103995,72.84,4.0
808944226,100980.5,22.9094069,120.3104853,72.764,4.0
809505802,100979.0,22.9093631,120.3105332,71.617,4.0
809937801,100984.0,22.9093232,120.3105874,70.675,4.0
810477907,100989.0,22.9092861,120.3106446,70.439,4.0
810909908,100991.0,22.9092512,120.3107037,70.031,4.0
811342103,100989.0,22.9092185,120.3107651,69.392,4.0
811882199,100995.0,22.9091864,120.3108292,68.9,4.0
812951526,100994.29,22.9091187,120.3109617,68.722,4.0
813502487,100999.0,22.9090871,120.3110295,68.639,4.0
813934646,101006.0,22.909058,120.3110978,68.273,4.0
814345207,101007.0,22.9090299,120.3111667,67.774,4.0
814474802,100998.0,22.9090299,120.3111667,67.774,4.0
814906819,101009.0,22.9090024,120.3112356,67.369,4.0
815339001,101003.0,22.9089772,120.3113029,67.497,4.0
815879001,101018.0,22.9089557,120.3113674,67.953,4.0
816937406,101003.0,22.9089293,120.3114866,68.894,4.0
817499090,101001.0,22.908927,120.3115389,69.264,4.0
817931083,101008.0,22.9089311,120.3115849,69.382,4.0
818352341,101008.0,22.9089396,120.3116273,68.972,4.0
818471088,101007.0,22.9089396,120.3116273,68.972,4.0
818903071,101007.0,22.908951,120.3116693,68.111,4.0
819335138,101013.0,22.9089662,120.3117125,67.594,4.0
819875223,101021.0,22.9089836,120.311756,67.482,4.0
820945026,101040.14,22.9090232,120.3118324,66.691,4.0
821496015,101045.0,22.9090447,120.3118649,65.86,4.0
821928042,101063.0,22.9090669,120.3118954,65.093,4.0
822338590,101060.164,22.9090897,120.3119267,64.218,4.0
822900194,101064.0,22.909114,120.3119595,63.571,4.0
823332193,101068.0,22.9091392,120.311993,63.341,4.0
823872214,101068.0,22.909165,120.3120253,63.037,4.0
824520230,101074.0,22.9091918,120.312055,62.646,4.0
824930587,101082.836,22.9092191,120.3120832,62.096,4.0
825492174,101083.0,22.9092464,120.3121111,61.383,4.0
825924318,101076.0,22.9092754,120.3121396,60.691,4.0
826345495,101077.0,22.9093092,120.31217,60.291,4.0
826464279,101074.0,22.9093092,120.31217,60.291,4.0
826896376,101078.0,22.909348,120.3122033,60.176,4.0
827328376,101105.0,22.90939,120.3122361,60.318,4.0
827868532,101109.0,22.9094304,120.3122653,60.361,4.0
828516586,101107.0,22.9094693,120.3122895,60.122,4.0
828948709,101106.0,22.9095072,120.3123113,59.996,4.0
829488800,101119.0,22.9095432,120.3123333,60.252,4.0
829921011,101110.0,22.9095769,120.3123558,60.232,4.0
830331564,101102.664,22.9096096,120.3123793,60.153,4.0
830893435,101111.0,22.9096389,120.312403,60.633,4.0
831325401,101111.0,22.9096647,120.3124261,60.75,4.0
831865478,101113.0,22.9096895,120.3124482,60.155,4.0
832513485,101104.0,22.9097138,120.3124711,59.691,4.0
832945488,101106.0,22.9097366,120.3124975,59.614,4.0
833485906,101093.0,22.9097617,120.3125282,59.319,4.0
833917927,101090.0,22.9097943,120.3125572,59.134,4.0
834349883,101090.0,22.9098343,120.3125798,59.249,4.0
834457907,101091.0,22.9098343,120.3125798,59.249,4.0
834890063,101091.0,22.9098792,120.3125966,59.609,4.0
835948699,101092.0,22.9099674,120.3126213,60.056,4.0
836510699,101084.0,22.9100071,120.3126257,60.752,4.0
836942704,101095.0,22.9100407,120.3126202,61.873,4.0
837482714,101093.0,22.9100678,120.3126095,62.666,4.0
837914801,101087.0,22.9100916,120.3125982,62.799,4.0
838346826,101097.0,22.9101137,120.3125868,62.708,4.0
838887034,101096.0,22.9101356,120.3125789,62.676,4.0
839859011,101077.0,22.9101773,120.3125608,61.839,4.0
840507003,101069.0,22.9101962,120.3125374,61.496,4.0
840938998,101092.0,22.9102119,120.312505,61.777,4.0
841349376,101100.164,22.9102223,120.3124694,61.79,4.0
841478998,101109.0,22.9102223,120.3124694,61.79,4.0
841911053,101106.0,22.9102301,120.312434,61.357,4.0
842343186,101096.0,22.9102357,120.312398,60.834,4.0
842883194,101097.0,22.9102394,120.3123587,60.477,4.0
843941907,101109.164,22.910248,120.3122722,59.508,4.0
844503581,101115.0,22.9102525,120.312226,58.77,4.0
844935798,101126.0,22.9102562,120.3121781,58.361,4.0
845475848,101128.0,22.9102597,120.3121288,58.028,4.0
845907815,101123.0,22.9102629,120.3120787,57.709,4.0
846340001,101131.0,22.9102638,120.312028,57.358,4.0
846880059,101132.0,22.9102627,120.311977,57.05,4.0
847949495,101156.43,22.9102519,120.3118728,55.949,4.0
848500204,101168.0,22.9102461,120.3118188,54.852,4.0
848932245,101174.0,22.9102438,120.3117642,53.975,4.0
849342649,101179.336,22.910242,120.3117084,53.269,4.0
849472319,101186.0,22.910242,120.3117084,53.269,4.0
849904320,101190.0,22.9102384,120.3116509,52.395,4.0
850336293,101192.0,22.9102342,120.3115915,51.102,4.0
850876322,101218.0,22.9102312,120.31153,50.078,4.0
851934797,101233.836,22.910224,120.3114066,48.243,4.0
852496375,101249.0,22.9102178,120.311347,47.655,4.0
852928697,101267.0,22.9102115,120.3112902,46.867,4.0
853350052,101265.57,22.9102046,120.3112347,45.326,4.0
853469010,101270.0,22.9102046,120.3112347,45.326,4.0
